1cfoto_srv.zpyug.fox,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
1cv8-srv.crimea,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
1cv8_srvch.delta.cv.ua,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
1s-moldova.uc.md,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
asterix.ydom,Microsoft Windows 2000 Server 5.0 Service Pack 4(32-bit) 
AV-DC-43.av.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
base,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
BD-Gostomel.stor.fox,Microsoft Windows Server 2003 R2 Server 5.2 Service Pack 2(32-bit) 
DC-1-195-SRV.stor-inds.fdn,Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 1(32-bit) 
DC-1-3-SRV.Stor-pdls.fte,Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 1(32-bit) 
dca-srv.stock-srv.stock,Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 1(32-bit) 
Dell-69-133.YUGCONTRACT.KH,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
DWH-112.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
edu-yugcontract-ua,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
fin1old.av.ydom,Microsoft Windows 2000 Server 5.0 Service Pack 4(32-bit) 
FOTO.lion-tc.com.ua,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
kiev-1sr-073.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
kiev-ctx-0-117.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
Kiev-ctx-0-120.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
kiev-sibel-new.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
KIEV-SPS-065.av.ydom,Microsoft Windows Server 2003 Server 5.2 (32-bit) 
kiev-vmvare-0-170.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
kievcrm-0-188.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
kievcrm655.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
kievcrmanl0187.av.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
md-serv-office.office1dom.foxtrot.md,Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 2(32-bit) 
n101ora.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
n102ora.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
olap-0-208.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
OLAP-110.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
pep10g64.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
sm1.av.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
sm81.ydom,Microsoft Windows 2000 Server 5.0 Service Pack 4(32-bit) 
srv-buran.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
stock-srv.stock-srv.stock,Microsoft Windows Server 2003 R2 Domain Controller 5.2 Service Pack 1(32-bit) 
STOCKMOL.sklad1dom.foxtrot.md,Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 2(32-bit) 
test10g64.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
yalta-dc-122.yalta.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) 
ydom-vm-0212.ydom,Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) 
