Host Name;Operating System;Component Type;Component;Description
kiev-ca-010.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
1cv8-srv.DPKNTN.FOX;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
orastor;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
kiev-ctx-0-122.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
edu-srv;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
Chernigov_srv;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
DC-1-131-SRV.stor-stal.fdp;Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
AV-DC-42.av.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
WSUS-srv.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
sierra.office.foxtrot.dp.ua;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
KIEV-SPS-0-253.av.ydom;Microsoft Windows Server 2003 R2 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
kiev-isa-fox-1.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
danatello.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
ydom-1S-070.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
ydom-bkp0-15.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
ydom-1S-026.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
ydom-1s-074.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
ydom-bkp0-18.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
ralf.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
DW-MAIN.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
DC-1-67-SRV.stor-prom.fkh;Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
supastor.ydom;Microsoft Windows Server 2003 R2 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
kiev-msg-059.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
kvadrat-sql.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
kiev-msg-058.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
kiev-fs-45.ydom;Microsoft Windows Server 2003 R2 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
bravo-dc.poltava.ug.fox;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
podmena-sibel.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
alpha.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
1cv8_ch;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
Kvadrat.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
stock-db.StockVN.kiev;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
kievcrm656.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
FAUTO-1SBAS.fauto;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
ydom-1s-1-25.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
apps-srv.lvivyug.uk.fox;Microsoft Windows Server 2003 R2 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
ydom-1s-072.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
DC1.CHERKASS.OF.FOX;Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
yalta-dc-12-3.yalta.ydom;Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
geralt.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
kiev-dc-901.ydom;Microsoft Windows Server 2003 R2 Domain Controller 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
kiev-dc-01.ydom;Microsoft Windows Server 2003 R2 Domain Controller 5.2 Service Pack 1(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
BALKA-PDC.chernomor.od.fox;Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
STOR-PDC.stor-odessa.od.fox;Microsoft Windows Server 2003 Domain Controller 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
ydom-sms-095.ydom;Microsoft Windows Server 2003 Server 5.2 Service Pack 2(32-bit) ;Patch;KB958644 ;Security Update for Windows Server 2003 (KB958644)
